booking_id,arrival_date,lead_time,is_flexible,actual_temp,actual_precip,forecast_14d_temp,forecast_14d_precip,forecast_3d_temp,forecast_3d_precip,weather_penalty_14d,weather_penalty_3d,weather_shock,cancellation_prob,is_canceled
1,2025-08-04,54,True,21.5,0.6,18.6,4.1,20.7,0.0,9.9,0.65,0.0,0.05448941413423795,1
2,2023-04-18,23,True,13.9,2.4,4.3,0.0,14.7,0.0,8.85,3.65,0.0,0.05448941413423795,0
3,2024-07-26,40,True,23.7,0.9,22.4,0.0,25.0,0.0,0.0,0.0,0.0,0.05448941413423795,1
4,2022-08-19,17,False,30.7,0.1,36.6,0.0,32.7,0.0,0.0,0.0,0.0,0.05,0
5,2024-07-17,17,False,27.0,0.0,25.8,3.9,28.7,1.0,7.8,2.0,0.0,0.05,0
6,2021-05-21,22,False,16.8,3.6,13.9,0.0,15.9,4.8,4.05,12.65,8.6,0.05,0
7,2022-05-20,58,False,24.6,0.2,21.7,4.1,24.3,0.0,8.35,0.0,0.0,0.05,0
8,2023-09-22,27,False,25.4,0.3,19.2,0.0,25.4,1.0,1.4,2.0,0.6,0.05,0
9,2020-03-07,30,True,8.4,2.4,6.7,0.0,8.3,0.0,7.65,6.85,0.0,0.05448941413423795,0
10,2024-06-18,30,True,26.5,0.0,28.2,3.1,27.2,0.0,6.2,0.0,0.0,0.05448941413423795,0
11,2025-01-08,47,True,2.3,0.7,1.4,0.0,1.4,0.0,10.3,10.3,0.0,0.05448941413423795,0
12,2022-07-01,21,True,30.4,1.7,30.7,3.0,30.8,0.2,6.0,0.4,0.0,0.05448941413423795,0
13,2022-08-29,37,False,21.0,13.8,24.1,8.9,20.0,12.4,17.8,25.8,8.0,0.05,0
14,2025-03-07,20,True,15.2,0.0,18.4,0.0,14.5,2.6,1.8,8.95,7.15,0.5877276087155323,0
15,2024-08-22,87,True,20.4,0.3,25.1,5.6,23.3,0.0,11.2,0.0,0.0,0.05448941413423795,0
16,2021-09-06,20,True,15.8,0.0,18.6,0.8,19.5,0.0,3.3,1.25,0.0,0.05448941413423795,0
17,2021-11-29,20,True,0.9,11.3,1.2,18.5,2.3,11.6,47.4,33.05,0.0,0.05448941413423795,0
